,Mass,R_eff,R_eff_obs,R_50,R_50_obs,R_90,R_90_obs,aspect_ratio,aspect_ratio_obs,effective dimension,effective dimension_obs,sphericity,sphericity_obs,f_n100,f_n1000,SFR,Z_mean,B_mean,B_mean_obs,T_mean,T_50,T_90,sigma_1D,sigma_1D_obs,Mach,Mach_obs,f_atomic,R_galactic,alpha,alpha_thermal,alpha_turb,alpha_magnetic,alpha_obs,alpha_thermal_obs,alpha_turb_obs,alpha_magnetic_obs
594,482665.48129964503,38.02172168543223,42.13564020629751,33.81955821781873,29.687805109698342,55.88622487911249,65.94633917180781,2.123484291539249,2.427419343245037,2.436257411808571,3.654386117712857,0.9012729503708393,0.904151393334933,0.550863469653148,1e-10,0.017990488659007646,1.069239132729343,1.9875421793245435e-09,2.250461880549577e-09,50.56067077030791,39.176347881365416,71.74867025085712,3395.1386971397064,2371.821228674838,6.445976412553914,4.0196186610419185,0.0012058869232663971,22719.150753927166,1.8184978192301304,0.018603955651739192,1.1611353292506665,0.6387585343277249,1.4821787931864574,0.02529558991971821,0.6811821660301586,0.7757010372365806
595,2190711.665182174,91.63276208364866,101.93826215371082,80.59609463707636,92.30110344179731,134.5633732845955,154.2403232690664,2.9318440524803306,3.423375116848508,2.3300412509432107,3.495061876414816,0.8030158311710832,0.8289617648819884,0.4106796551428825,1e-10,1e-10,1.5914167798229975,2.854442420377102e-09,2.0585793465708627e-09,64.72958574239883,45.14207416609588,101.16511828573417,9087.82004129176,11637.481214187432,16.697518609889805,17.43078292896238,0.00470842384557435,12613.658002670742,4.355483199072412,0.010926223771740995,3.751021862990313,0.5935351123103576,9.837701280865383,0.01726169588633467,8.741098208269406,1.0793413767096434
596,691435.7910356487,39.448242367368465,30.72472468567356,34.621330491252436,26.208451061733637,58.97705599013482,49.105707162723924,1.5587570013554646,1.8812884323597159,2.5253813266535428,3.788071989980314,0.9714240007353572,0.9491815252164634,0.49151617897460503,1e-10,1e-10,1.3571561400254906,1.991413673704116e-09,1.8610725331730724e-09,204.9961341118854,69.11375006177367,587.7042741066016,6620.014589139711,5707.188398160048,8.945941401092139,4.8035098877553155,0.010663249703989908,15553.036528907887,4.0671988876624585,0.06327885019810658,3.5556200326186134,0.44830000484573873,2.132885570257949,0.052204800863645665,2.0075971529038354,0.0730836164904679
597,1883161.1826199086,49.82557988499338,52.534137489339535,40.206721710458844,36.891156950744644,80.19266602084599,86.64836606364096,1.533079455498004,1.811827834788378,2.568835171173859,3.8532527567607886,0.9719763700909496,0.9548140329354097,0.7299693952471406,0.060214300060772684,0.011084018995417102,3.066296432062547,4.5134097343546095e-09,3.3428968649151678e-09,567.2268052111932,219.93375997151836,974.5376400665051,28843.96963268927,20981.21454386377,31.395976507331824,10.61601606596173,0.05790645891663493,326.309935364462,29.17402145686215,0.0952872921673468,28.22571472765467,0.8530194370401333,17.3961746378889,0.09068584154538537,17.033793238607682,0.2716955577358319
598,336096.5048712071,25.193196842206998,22.312227661901453,24.461274718720702,19.29113421698061,36.63371525768773,29.85396761746265,1.4326056756768921,1.6158436641028524,2.5545891350261583,3.8318837025392374,0.9827044619989445,0.9701228958138802,0.49113978879650066,1e-10,1e-10,1.2797941195065303,2.296902481808486e-09,1.6072082065464624e-09,48.542176956046106,39.34214713683153,71.28215284664398,2120.3916993433995,2459.09137288494,3.8468737186252104,4.253283751972534,0.0005662965758939098,13683.02630542626,1.3766274109199124,0.02109989645613613,0.5361707996107034,0.819356714853073,0.6394558063625306,0.01846829547573722,0.5568321187317731,0.06415539215502039
599,556960.5932154432,41.3468647122677,44.84352383964711,37.67358660625908,39.6847917248567,58.97708799681637,64.82576855203078,2.013333637987269,2.297408743312176,2.461697860174664,3.692546790261996,0.9146126402929902,0.914802683262205,0.3543630644055537,1e-10,1e-10,1.4970268377559417,2.5062231272912e-09,1.9524838287431083e-09,52.094745033914826,39.366151645363196,105.83450411561529,4853.106710255114,2641.0631318926853,8.598185318450362,4.409518202211602,0.0020851928107507023,14402.195226757356,3.294866372616372,0.01909480051466182,2.3532877415979425,0.9224838305037669,1.3655840373476849,0.02403797114525893,0.7789845398290755,0.5625615263733504
600,641526.1182949523,39.916456520281315,42.57866156869673,37.84059135499353,38.72408395626542,57.04207405814012,62.94735797435075,2.2653542471753747,2.427905994569791,2.3889933479181673,3.583490021877251,0.8865358872460287,0.9041117712144738,0.5475957545607654,1e-10,1e-10,2.152617706912775,2.4605651239457277e-09,1.8430882574030063e-09,64.82108516546933,41.89978709457611,126.93360652047973,7484.740446585662,3466.937966243513,14.691217606367374,5.189162102492498,0.001922851252524338,7464.589219150752,5.388774415849672,0.020060078345537732,4.733610677602032,0.6351036599021024,1.4382905050610046,0.02465599817133938,1.1065366786056698,0.30709782828399557
601,649397.9265786234,33.87534590802173,37.6017493908009,31.852450112833154,32.055178867141144,47.39621180358848,55.20510655683961,1.5879545583100096,2.0116079775458378,2.607611137270316,3.9114167059054736,0.9622154977915346,0.9384643856040553,0.541561268104444,1e-10,1e-10,1.6828045040158264,2.2631116457918727e-09,1.7899935113013754e-09,92.20178816007686,55.351933817541514,210.18120851994473,6954.557237318945,5736.864015991994,11.946457134313935,7.199696663102546,0.006380908454735379,13078.920420968809,4.176595416404416,0.02582188419255344,3.6387273770731707,0.512046155138691,2.8458032692660153,0.030596033341291972,2.6432745436398197,0.17193269228490332
602,1057845.1930547003,52.290348021962835,45.341307370146446,46.67462677320646,37.214553208535705,82.39691992138532,70.89722839858159,1.9394571028171113,1.6638622662086726,2.4036859364004917,3.6055289046007375,0.9317666907544168,0.9664780989699706,0.46478605397912126,1e-10,1e-10,2.452853852408203,5.021895612744233e-09,3.906031508774945e-09,386.76879861373794,208.17134785770668,873.9428813793487,19680.304994868413,11739.73348360354,20.74978962932142,7.19352632574551,0.04258397687246096,2999.693262461011,27.06870705911626,0.1059657873455653,24.669880311988567,2.292860959782128,8.941089978233272,0.09500620741218437,8.193782014617623,0.6523017562034624
603,2449654.466919192,79.99401291427388,86.74699166438369,71.29947274866066,72.02771630974408,116.09102692973073,139.20037397097823,2.4003463454930754,4.3106708495487345,2.370268459463407,3.5554026891951107,0.8695775264761522,0.7730261661183413,0.615333419154922,1e-10,1e-10,1.8549607248257973,2.8091686440220858e-09,1.882121288447995e-09,74.87520544489472,43.95276068404383,141.9744275368989,8409.721284828443,7906.48048601007,14.562562880237193,11.010917413822057,0.004258148351468649,7764.121847370061,2.982360217580804,0.010428029073580376,2.616505574846253,0.3554266136609714,3.4641137102997055,0.01519554386686702,3.0705205532347404,0.3783976131980979
